,Source,Target,Link
1846,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=xukWkOv4a-w,1
1847,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=OMp7HrAtRXc,1
1848,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=yN0O8UaTnRA,1
1849,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=jYB8lZny6q8,1
1850,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=cX7ubSkvGi4,1
1851,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=ZCGQ2_sfVik,1
1852,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=EvXROXiIpvQ,1
1853,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=cWiPROxS2HA,1
1854,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=-VD7_j8KY3w,1
1855,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=cX7ubSkvGi4,1
1856,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=OMp7HrAtRXc,1
1857,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=Zg6NHtJEu3Y,1
1858,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=R2KYF8DmFQw,1
1859,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=xukWkOv4a-w,1
1860,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=zopTkefjBFI,1
1861,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=-0QvjiG4sYM,1
1862,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=tA1EbehbXaY,1
1863,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=NyRJBEjHkL0,1
1864,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=OMp7HrAtRXc,1
1865,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=iaoD6pfFuTo,1
1866,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=n8bK3QMsFKs,1
1867,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=HB6Hv3hMPiI,1
1868,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=ZIawUK3tjtA,1
1869,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=PC8GZLi7d7o,1
1870,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=OMp7HrAtRXc,1
1871,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=EzcqA7hej7g,1
1872,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=_OkhHUXWNJA,1
1873,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=0ZcyLet8h_4,1
1874,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=y98i2MgNzus,1
1875,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=2yIjg17A6Oo,1
1876,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=YqUmE7U-lNE,1
1877,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=7KAXrZqGZ0I,1
1878,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=EQaZdvmUPts,1
1879,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=ds2CmsUs5WU,1
1880,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=0A7w7aj0jtk,1
1881,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=-dB_W38mCRM,1
1882,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=4IaAyWzDUtg,1
1883,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=qP6BgAoC3Cw,1
1884,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=zL7B7L7nZlE,1
1885,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=OMp7HrAtRXc,1
1886,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=cX7ubSkvGi4,1
1887,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=7jH8z8ec_RU,1
1888,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=zopTkefjBFI,1
1889,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=OKzhy6af-vY,1
1890,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=aGuPhL8dzJw,1
1891,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=ZIawUK3tjtA,1
1892,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=q2O0azXojUo,1
1893,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=ds2CmsUs5WU,1
1894,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=z4cseV720kY,1
1895,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=-dB_W38mCRM,1
1896,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=UdUIXvwuwto,1
1897,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=xGp3FflT3mM,1
1898,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=KNdFBDz0B3g,1
1899,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=Osee4oSVSjs,1
1900,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=0VDbf9VsZ88,1
1901,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=0m6Xz6s0EdI,1
1902,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=rs2RlZQVXBU,1
1903,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=-dB_W38mCRM,1
1904,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=Ue7Sp7UNqYA,1
1905,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=z0JPzHaT3D8,1
1906,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=5yCD4jzQxkU,1
1907,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=9e4B1AbMOko,1
1908,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=cX7ubSkvGi4,1
1909,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=Ue7Sp7UNqYA,1
1910,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=ARC8jeX95aU,1
1911,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=nRkwuTOESCc,1
1912,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=0ZcyLet8h_4,1
1913,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=aGIYU2Xznb4,1
1914,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=82vAgo0-mwc,1
1915,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=0ZcyLet8h_4,1
1916,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=vFCAFZGsGYs,1
1917,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=1DaMGlC0YKg,1
1918,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=2yIjg17A6Oo,1
1919,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=glAcWe1NNq4,1
1920,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=6ZRgVX8SYX4,1
1921,https://www.youtube.com/user/TheYoungTurks/videos,https://www.youtube.com/watch?v=PC8GZLi7d7o,1
